Province;Commune;Indice CDL;Inégalité Gini/100;Déficit Education;Déficit Santé;Déficit Activité Economique;Déficit Habitat;Déficit Services Sociaux;Déficit Niveau de Vie;InégalitéGINII
Taza;Ait Saghrouchen;0.559;26.0;0.528;0.488;0.198;0.320;0.510;0.604;0.260
Essaouira;Ait Said;0.531;28.7;0.716;0.520;0.144;0.355;0.456;0.624;0.287
Sefrou;Ait Sebaa Lajrouf;0.585;30.3;0.499;0.352;0.281;0.357;0.456;0.546;0.303
Tinghir;Ait Sedrate Jbel El oufla;0.656;29.9;0.557;0.394;0.036;0.278;0.298;0.500;0.299
Tinghir;Ait Sedrate JbelEl Oulia;0.615;30.6;0.705;0.421;0.053;0.294;0.333;0.507;0.306
Tinghir;Ait Sedrate Sahl Charkia;0.622;30.7;0.640;0.419;0.057;0.307;0.371;0.471;0.307
Tinghir;Ait Sedrate Sahl El Gharbia;0.633;31.3;0.663;0.410;0.053;0.281;0.353;0.444;0.313
Khémisset;Ait Siberne;0.545;20.3;0.545;0.420;0.233;0.376;0.580;0.579;0.203
Al  Haouz;Ait Sidi Daoud;0.641;28.8;0.571;0.420;0.054;0.273;0.316;0.520;0.288
Azilal;Ait Taguella;0.636;33.2;0.558;0.362;0.060;0.344;0.367;0.490;0.332
Rehamna;Ait Taleb;0.490;24.8;0.658;0.351;0.526;0.352;0.535;0.639;0.248
Azilal;Ait Tamlil;0.503;30.2;0.713;0.454;0.152;0.466;0.600;0.593;0.302
El Hajeb;Ait Yaazem;0.627;32.7;0.509;0.419;0.083;0.307;0.409;0.508;0.327
Khémisset;Ait Yadine;0.541;23.5;0.623;0.472;0.154;0.365;0.530;0.610;0.235
Midelt;Ait Yahya;0.495;22.7;0.609;0.458;0.319;0.585;0.513;0.546;0.227
Tinghir;Ait Youl;0.627;38.4;0.658;0.401;0.030;0.284;0.371;0.493;0.384
Al Hoceima;Ait Youssef Ou Ali;0.667;34.4;0.564;0.410;0.038;0.175;0.376;0.433;0.344
Ouarzazate;Ait Zineb;0.654;33.4;0.478;0.397;0.205;0.290;0.287;0.422;0.334
Taza;Ajdir;0.593;29.8;0.531;0.505;0.246;0.266;0.424;0.471;0.298
Al Hoceima;Ajdir (Mun,);0.741;39.8;0.415;0.314;0.018;0.181;0.286;0.340;0.398
Rehamna;Akarma;0.574;24.9;0.772;0.365;0.193;0.338;0.339;0.551;0.249
Tarfaya;Akhfennir;0.662;38.0;0.499;0.285;0.158;0.229;0.363;0.496;0.380
Tata;Akka (Mun,);0.720;34.3;0.405;0.353;0.031;0.255;0.266;0.367;0.343
