Province;Commune;Indice CDL;Inégalité Gini/100;Déficit Education;Déficit Santé;Déficit Activité Economique;Déficit Habitat;Déficit Services Sociaux;Déficit Niveau de Vie;InégalitéGINII
Tétouan;Saddina;0.564;34.1;0.643;0.430;0.185;0.238;0.526;0.593;0.341
Safi;Safi (Mun,);0.784;34.2;0.333;0.370;0.031;0.177;0.056;0.332;0.342
Larache;Sahel;0.621;30.1;0.557;0.363;0.150;0.240;0.463;0.503;0.301
Tanger-Assilah;Sahel Chamali;0.554;40.9;0.626;0.399;0.294;0.310;0.499;0.545;0.409
Berrechid;Sahel Oulad H'Riz;0.614;24.3;0.524;0.428;0.072;0.303;0.522;0.466;0.243
Tétouan;Sahtryine;0.494;31.6;0.708;0.379;0.485;0.314;0.536;0.617;0.316
Chichaoua;Saidate;0.603;29.0;0.600;0.442;0.047;0.339;0.422;0.531;0.290
Berkane;Saidia (Mun,);0.747;37.1;0.368;0.379;0.031;0.181;0.201;0.360;0.371
Fès;Saiss (Arrond,);0.800;34.9;0.324;0.347;0.043;0.203;0.019;0.265;0.349
Guercif;Saka;0.501;31.9;0.659;0.372;0.332;0.351;0.592;0.686;0.319
Sidi Bennour;Saniat Berguig;0.548;27.3;0.583;0.438;0.259;0.350;0.556;0.526;0.273
Casablanca;Sbata (Arrond,);0.795;28.1;0.291;0.347;0.032;0.248;0.034;0.278;0.281
Sidi Ifni;Sbouya;0.565;29.9;0.658;0.441;0.034;0.364;0.595;0.519;0.299
Moulay Yacoub;Sebaa Rouadi;0.608;26.2;0.501;0.402;0.273;0.287;0.390;0.497;0.262
Khénifra;Sebt Ait Rahou;0.509;25.9;0.548;0.427;0.323;0.408;0.571;0.670;0.259
Sidi Ifni;Sebt Ennabour;0.507;30.3;0.738;0.443;0.378;0.321;0.561;0.519;0.303
Safi;Sebt Gzoula (Mun,);0.720;39.4;0.486;0.336;0.055;0.187;0.170;0.443;0.394
Moulay Yacoub;Sebt Loudaya;0.520;28.9;0.623;0.400;0.528;0.318;0.483;0.528;0.289
El Jadida;Sebt Saiss;0.531;28.0;0.630;0.386;0.415;0.326;0.530;0.530;0.280
Sefrou;Sefrou (Mun,);0.792;35.3;0.339;0.326;0.043;0.178;0.034;0.330;0.353
Sidi Kacem;Sefsaf;0.580;29.5;0.602;0.410;0.182;0.299;0.507;0.523;0.295
Sidi Kacem;Selfat;0.534;26.7;0.534;0.404;0.477;0.313;0.516;0.553;0.267
Nador;Selouane (Mun,);0.776;36.1;0.394;0.289;0.037;0.205;0.118;0.300;0.361
Béni Mellal;Semguet;0.518;24.7;0.541;0.349;0.659;0.328;0.439;0.576;0.247
Al Hoceima;Senada;0.462;30.8;0.611;0.434;0.559;0.295;0.773;0.555;0.308
Boulemane;Serghina;0.575;32.3;0.530;0.517;0.116;0.323;0.535;0.527;0.323
Settat;Settat (Mun,);0.798;36.0;0.337;0.337;0.037;0.182;0.023;0.294;0.360
Sidi Slimane;Sfafaa;0.572;25.4;0.625;0.436;0.255;0.324;0.350;0.576;0.254
Khémisset;Sfassif;0.532;23.7;0.724;0.431;0.280;0.301;0.494;0.575;0.237
Settat;Sgamna;0.552;22.9;0.642;0.399;0.307;0.318;0.534;0.486;0.229
Salé;Shoul;0.489;20.8;0.600;0.408;0.313;0.404;0.722;0.621;0.208
El Jadida;Si Hsaien Ben Abderrahmane;0.519;29.8;0.628;0.416;0.384;0.363;0.534;0.562;0.298
Chichaoua;Sid L'Mokhtar;0.649;27.0;0.548;0.452;0.086;0.219;0.317;0.484;0.270
Marrakech;Sid Zouine;0.671;25.1;0.545;0.455;0.062;0.251;0.182;0.479;0.251
Midelt;Sidi Aayad;0.611;31.2;0.511;0.472;0.133;0.330;0.411;0.475;0.312
Rehamna;Sidi Abdallah;0.569;26.6;0.701;0.398;0.128;0.334;0.511;0.516;0.266
Meknès;Sidi Abdallah Al Khayat;0.585;31.0;0.618;0.405;0.213;0.312;0.359;0.584;0.310
Chtouka- Ait Baha;Sidi Abdallah El Bouchouari;0.561;27.2;0.740;0.482;0.010;0.330;0.555;0.516;0.272
Al  Haouz;Sidi Abdallah Ghiat;0.671;25.8;0.501;0.452;0.033;0.249;0.273;0.468;0.258
Essaouira;Sidi Abdeljalil;0.512;28.0;0.635;0.478;0.259;0.369;0.589;0.599;0.280
Berrechid;Sidi Abdelkhaleq;0.550;29.3;0.570;0.374;0.383;0.338;0.533;0.503;0.293
Settat;Sidi Abdelkrim;0.577;25.3;0.523;0.356;0.286;0.318;0.557;0.501;0.253
Taroudannt;Sidi Abdellah Ou Said;0.424;27.4;0.751;0.464;0.532;0.500;0.600;0.611;0.274
Chichaoua;Sidi Abdelmoumen;0.547;27.4;0.701;0.426;0.030;0.348;0.608;0.603;0.274
Khémisset;Sidi Abderrazak;0.546;23.0;0.543;0.448;0.224;0.389;0.514;0.604;0.230
El Jadida;Sidi Abed;0.590;31.5;0.604;0.378;0.114;0.296;0.536;0.531;0.315
Sidi Kacem;Sidi Ahmed Benaissa;0.463;26.0;0.711;0.499;0.401;0.390;0.599;0.621;0.260
Ouezzane;Sidi Ahmed Cherif;0.571;28.1;0.541;0.483;0.182;0.306;0.518;0.543;0.281
Settat;Sidi Ahmed El Khadir;0.575;22.1;0.687;0.388;0.200;0.310;0.487;0.478;0.221
Essaouira;Sidi Ahmed Essayeh;0.563;31.0;0.685;0.515;0.015;0.335;0.526;0.545;0.310
Es-Semara;Sidi Ahmed Laaroussi;0.563;44.9;0.603;0.482;0.147;0.300;0.496;0.591;0.449
Taroudannt;Sidi Ahmed Ou Abdallah;0.546;35.3;0.739;0.413;0.020;0.469;0.480;0.603;0.353
Taroudannt;Sidi Ahmed Ou Amar;0.681;29.2;0.500;0.399;0.103;0.196;0.306;0.407;0.292
Tiznit;Sidi Ahmed Ou Moussa;0.575;35.5;0.666;0.698;0.002;0.318;0.380;0.484;0.355
Safi;Sidi Aissa;0.566;27.1;0.595;0.405;0.222;0.321;0.527;0.533;0.271
Fquih Ben Salah;Sidi Aissa Ben Ali;0.625;33.6;0.481;0.436;0.199;0.259;0.430;0.445;0.336
El Kelaa des Sraghna;Sidi Aissa Ben Slimane;0.615;27.1;0.604;0.501;0.131;0.290;0.306;0.477;0.271
Essaouira;Sidi Aissa Regragui;0.506;26.6;0.726;0.381;0.405;0.345;0.487;0.619;0.266
Sidi Kacem;Sidi Al Kamel;0.585;27.0;0.614;0.487;0.261;0.290;0.315;0.526;0.270
Errachidia;Sidi Ali;0.522;36.6;0.635;0.387;0.372;0.500;0.383;0.591;0.366
Taourirt;Sidi Ali Bel Quassem;0.549;36.1;0.629;0.345;0.200;0.422;0.540;0.573;0.361
El Jadida;Sidi Ali Ben Hamdouche;0.624;29.4;0.558;0.432;0.114;0.268;0.401;0.482;0.294
Taza;Sidi Ali Bourakba;0.607;29.7;0.570;0.494;0.078;0.223;0.520;0.474;0.297
Essaouira;Sidi Ali El Korati;0.495;28.9;0.743;0.451;0.253;0.379;0.564;0.641;0.289
Rehamna;Sidi Ali Labrahla;0.568;25.7;0.581;0.430;0.245;0.327;0.456;0.555;0.257
Khémisset;Sidi Allal El Bahraoui (Mun,);0.768;25.0;0.370;0.360;0.049;0.191;0.062;0.362;0.250
Khémisset;Sidi Allal Lamsadder;0.523;23.0;0.574;0.473;0.198;0.375;0.639;0.603;0.230
Kénitra;Sidi Allal Tazi;0.606;27.4;0.555;0.447;0.211;0.285;0.398;0.470;0.274
Khénifra;Sidi Amar;0.422;39.7;0.600;0.521;0.439;0.439;0.735;0.732;0.397
Sidi Kacem;Sidi Ameur Al Hadi;0.557;26.1;0.638;0.402;0.212;0.329;0.519;0.560;0.261
Sidi Kacem;Sidi Azzouz;0.556;26.4;0.596;0.539;0.171;0.303;0.502;0.554;0.264
Al  Haouz;Sidi Badhaj;0.630;34.0;0.545;0.493;0.146;0.246;0.302;0.487;0.340
Casablanca;Sidi Belyout (Arrond,);0.796;36.6;0.268;0.384;0.021;0.265;0.026;0.259;0.366
Sidi Bennour;Sidi Bennour (Mun,);0.740;38.2;0.400;0.353;0.091;0.226;0.098;0.394;0.382
Casablanca;Sidi Bernoussi (Arrond,);0.806;34.3;0.279;0.325;0.016;0.228;0.041;0.274;0.343
Benslimane;Sidi Bettache;0.562;26.9;0.554;0.440;0.266;0.331;0.456;0.581;0.269
Chtouka- Ait Baha;Sidi Bibi;0.652;36.7;0.507;0.412;0.030;0.181;0.504;0.450;0.367
Taroudannt;Sidi Boaal;0.590;32.8;0.700;0.518;0.024;0.322;0.380;0.518;0.328
Taroudannt;Sidi Borja;0.652;28.6;0.537;0.390;0.160;0.261;0.288;0.452;0.286
Rehamna;Sidi Bou Othmane (Mun,);0.753;25.5;0.423;0.308;0.067;0.190;0.079;0.412;0.255
Tiznit;Sidi Bouabdelli;0.580;33.3;0.731;0.408;0.033;0.344;0.527;0.479;0.333
Jerada;Sidi Boubker;0.694;24.6;0.444;0.428;0.044;0.235;0.230;0.459;0.246
Rehamna;Sidi Boubker;0.576;24.7;0.654;0.418;0.191;0.327;0.381;0.575;0.247
Kénitra;Sidi Boubker El Haj;0.578;19.7;0.643;0.457;0.045;0.367;0.495;0.525;0.197
Berkane;Sidi Bouhria;0.668;35.7;0.488;0.401;0.097;0.258;0.275;0.473;0.357
Salé;Sidi Bouknadel (Mun,);0.702;31.3;0.438;0.381;0.054;0.241;0.258;0.415;0.313
Essaouira;Sidi Boulaalam;0.514;29.3;0.680;0.412;0.387;0.370;0.447;0.617;0.293
Oujda-Angad;Sidi Boulenouar;0.573;24.2;0.673;0.444;0.105;0.338;0.445;0.557;0.242
Azilal;Sidi Boulkhalf;0.535;28.9;0.687;0.455;0.096;0.469;0.524;0.559;0.289
Settat;Sidi Boumehdi;0.586;25.3;0.612;0.415;0.165;0.315;0.509;0.467;0.253
Taroudannt;Sidi Boumoussa;0.705;31.0;0.486;0.402;0.030;0.188;0.267;0.396;0.310
Ouezzane;Sidi Bousber;0.556;27.2;0.523;0.444;0.333;0.305;0.515;0.544;0.272
Chtouka- Ait Baha;Sidi Boushab;0.604;28.7;0.765;0.467;0.025;0.272;0.334;0.511;0.287
Boulemane;Sidi Boutayeb;0.588;33.0;0.460;0.449;0.360;0.287;0.416;0.501;0.330
Al Hoceima;Sidi Boutmim;0.622;28.8;0.556;0.441;0.124;0.312;0.375;0.458;0.288
Chichaoua;Sidi Bouzid Arragragui;0.628;31.5;0.582;0.464;0.104;0.290;0.319;0.471;0.315
Al Hoceima;Sidi Bouzineb;0.457;32.4;0.676;0.478;0.636;0.415;0.522;0.531;0.324
Youssoufia;Sidi Chiker;0.539;29.4;0.680;0.339;0.162;0.340;0.630;0.614;0.294
Settat;Sidi Dahbi;0.613;29.7;0.520;0.425;0.083;0.306;0.504;0.484;0.297
Taroudannt;Sidi Dahmane;0.686;28.3;0.462;0.422;0.088;0.177;0.292;0.443;0.283
Moulay Yacoub;Sidi Daoud;0.504;27.8;0.630;0.357;0.512;0.357;0.520;0.600;0.278
Taounate;Sidi El Abed;0.538;27.3;0.635;0.394;0.297;0.329;0.525;0.592;0.273
Settat;Sidi El Aidi;0.592;23.7;0.563;0.381;0.166;0.326;0.520;0.493;0.237
Khémisset;Sidi El Ghandour;0.586;30.9;0.534;0.418;0.150;0.300;0.543;0.538;0.309
El Kelaa des Sraghna;Sidi El Hattab;0.614;27.4;0.636;0.335;0.282;0.310;0.275;0.481;0.274
Essaouira;Sidi El Jazouli;0.536;26.8;0.778;0.407;0.105;0.348;0.579;0.569;0.268
Ifrane;Sidi El Makhfi;0.547;25.8;0.579;0.490;0.256;0.380;0.454;0.558;0.258
Berrechid;Sidi El Mekki;0.625;26.2;0.511;0.439;0.053;0.263;0.518;0.468;0.262
Safi;Sidi Ettiji;0.555;26.0;0.637;0.352;0.162;0.326;0.598;0.591;0.260
Chichaoua;Sidi Ghanem;0.555;26.5;0.650;0.480;0.185;0.373;0.471;0.514;0.265
Rehamna;Sidi Ghanem;0.513;27.7;0.713;0.356;0.365;0.355;0.548;0.586;0.277
Essaouira;Sidi Ghaneme;0.576;27.9;0.702;0.389;0.107;0.333;0.445;0.569;0.279
Taounate;Sidi Haj M'hamed;0.492;27.7;0.626;0.395;0.492;0.365;0.604;0.565;0.277
Settat;Sidi Hajjaj;0.581;24.7;0.577;0.420;0.173;0.309;0.529;0.504;0.247
Médiouna;Sidi Hajjaj Oued Hassar;0.661;29.9;0.437;0.430;0.025;0.332;0.369;0.442;0.299
Fquih Ben Salah;Sidi Hammadi;0.654;35.5;0.454;0.423;0.238;0.223;0.301;0.436;0.355
Fès;Sidi Harazem;0.689;33.7;0.485;0.434;0.111;0.243;0.152;0.442;0.337
Khénifra;Sidi Hcine;0.380;32.7;0.819;0.451;0.493;0.521;0.742;0.695;0.327
Essaouira;Sidi Hmad Ou Hamed;0.543;33.8;0.672;0.431;0.126;0.378;0.523;0.615;0.338
Essaouira;Sidi H'Mad Ou M'Barek;0.571;30.3;0.666;0.495;0.044;0.319;0.533;0.518;0.303
Taroudannt;Sidi Hsaine;0.601;33.7;0.584;0.415;0.320;0.236;0.334;0.504;0.337
Sidi Ifni;Sidi H'Saine Ou Ali;0.552;33.8;0.676;0.446;0.323;0.283;0.465;0.495;0.338
Sidi Ifni;Sidi Ifni (Mun,);0.787;35.5;0.400;0.305;0.022;0.176;0.045;0.330;0.355
Essaouira;Sidi Ishaq;0.526;24.4;0.734;0.374;0.196;0.336;0.556;0.645;0.244
Béni Mellal;Sidi Jaber;0.666;33.1;0.462;0.430;0.128;0.250;0.304;0.431;0.331
Sidi Kacem;Sidi Kacem (Mun,);0.786;;0.353;0.367;0.048;0.171;0.023;0.319;0.000
Essaouira;Sidi Kaouki;0.627;31.2;0.572;0.397;0.058;0.289;0.436;0.487;0.312
Essaouira;Sidi Laaroussi;0.492;26.7;0.717;0.421;0.332;0.367;0.550;0.657;0.267
Taourirt;Sidi Lahsen;0.463;35.5;0.686;0.418;0.257;0.467;0.686;0.706;0.355
Khénifra;Sidi Lamine;0.598;34.5;0.580;0.407;0.177;0.297;0.383;0.568;0.345
Tanger-Assilah;Sidi Lyamani;0.586;41.2;0.563;0.422;0.357;0.297;0.327;0.519;0.412
Rehamna;Sidi Mansour;0.513;25.0;0.728;0.385;0.253;0.368;0.586;0.603;0.250
Sidi Ifni;Sidi M'Bark;0.568;32.7;0.660;0.427;0.240;0.302;0.450;0.513;0.327
El Jadida;Sidi M'Hamed Akhdim;0.576;28.9;0.625;0.407;0.177;0.357;0.432;0.545;0.289
Taounate;Sidi M'Hamed Ben Lahcen;0.525;29.2;0.645;0.381;0.474;0.328;0.506;0.517;0.292
Sidi Kacem;Sidi M'Hamed Chelh;0.579;27.4;0.591;0.448;0.116;0.284;0.524;0.561;0.274
Chichaoua;Sidi M'Hamed Dalil;0.582;25.5;0.691;0.460;0.115;0.316;0.381;0.548;0.255
Essaouira;Sidi M'Hamed Ou Marzouq;0.559;27.0;0.697;0.419;0.311;0.322;0.345;0.552;0.270
Kénitra;Sidi Mohamed Ben Mansour;0.545;;0.688;0.469;0.246;0.330;0.503;0.493;0.000
Kénitra;Sidi Mohamed Lahmar;0.519;24.4;0.729;0.415;0.380;0.339;0.525;0.499;0.244
Settat;Sidi Mohammed Ben Rahal;0.578;23.9;0.558;0.420;0.245;0.312;0.513;0.484;0.239
Taounate;Sidi Mokhfi;0.533;28.4;0.626;0.386;0.342;0.354;0.552;0.542;0.284
Casablanca;Sidi Moumen (Arrond,);0.778;32.6;0.305;0.361;0.022;0.300;0.038;0.306;0.326
El Kelaa des Sraghna;Sidi Moussa;0.654;28.8;0.536;0.403;0.119;0.270;0.284;0.467;0.288
Mohammadia;Sidi Moussa Ben Ali;0.618;29.0;0.474;0.520;0.067;0.290;0.466;0.477;0.290
Oujda-Angad;Sidi Moussa Lemhaya;0.578;25.6;0.577;0.396;0.145;0.365;0.515;0.531;0.256
Taroudannt;Sidi Moussa Lhamri;0.645;33.1;0.569;0.391;0.111;0.264;0.346;0.450;0.331
Mohammadia;Sidi Moussa Majdoub;0.613;32.9;0.496;0.485;0.049;0.322;0.472;0.499;0.329
Taroudannt;Sidi Mzal;0.589;36.9;0.630;0.468;0.108;0.371;0.395;0.494;0.369
Casablanca;Sidi Othmane (Arrond,);0.786;34.3;0.346;0.310;0.034;0.220;0.024;0.350;0.343
Taroudannt;Sidi Ouaaziz;0.619;31.8;0.611;0.402;0.036;0.327;0.416;0.495;0.318
Chtouka- Ait Baha;Sidi Ouassay;0.671;35.9;0.532;0.373;0.113;0.179;0.406;0.370;0.359
Berrechid;Sidi Rahal Chatai (Mun,);0.662;23.9;0.419;0.374;0.044;0.286;0.466;0.440;0.239
El Kelaa des Sraghna;Sidi Rahhal (Mun,);0.721;29.1;0.494;0.330;0.062;0.239;0.132;0.418;0.291
Ouezzane;Sidi Redouane;0.581;29.5;0.485;0.458;0.251;0.297;0.492;0.533;0.295
Sidi Slimane;Sidi Slimane (Mun,);0.765;36.4;0.372;0.336;0.051;0.215;0.095;0.341;0.364
Berkane;Sidi Slimane Echcharraa (Mun,;0.753;33.6;0.454;0.376;0.052;0.179;0.026;0.393;0.336
Meknès;Sidi Slimane Moul Al Kifane;0.635;38.5;0.500;0.435;0.055;0.285;0.384;0.531;0.385
El Jadida;Sidi Smail;0.557;29.8;0.535;0.446;0.429;0.300;0.453;0.497;0.298
Kénitra;Sidi Taibi;0.613;26.4;0.462;0.448;0.064;0.291;0.536;0.519;0.264
Azilal;Sidi Yacoub;0.575;24.1;0.623;0.372;0.168;0.338;0.521;0.527;0.241
Sidi Slimane;Sidi Yahya El Gharb (Mun,);0.729;35.4;0.416;0.355;0.051;0.282;0.119;0.403;0.354
Khénifra;Sidi Yahya Ou Saad;0.526;32.9;0.729;0.439;0.326;0.393;0.368;0.591;0.329
Midelt;Sidi Yahya Ou Youssef;0.491;28.1;0.772;0.525;0.175;0.519;0.448;0.612;0.281
Skhirate- Témara;Sidi Yahya Zaer;0.691;28.4;0.414;0.392;0.059;0.328;0.256;0.408;0.284
Taounate;Sidi YahyaBni Zeroual;0.512;27.8;0.623;0.453;0.383;0.354;0.601;0.516;0.278
Sefrou;Sidi Youssef Ben Ahmed;0.621;34.0;0.544;0.487;0.052;0.268;0.377;0.546;0.340
Marrakech;Sidi Youssef Ben Ali (Arrond,);0.771;26.6;0.398;0.370;0.049;0.179;0.014;0.364;0.266
Ouarzazate;Siroua;0.599;30.3;0.660;0.477;0.218;0.304;0.253;0.491;0.303
Skhirate- Témara;Skhirate (Mun,);0.715;36.6;0.381;0.357;0.029;0.280;0.272;0.389;0.366
Rehamna;Skhour Rehamna;0.630;26.6;0.554;0.385;0.148;0.269;0.354;0.511;0.266
Ouarzazate;Skoura Ahl El Oust;0.661;35.3;0.491;0.436;0.053;0.309;0.311;0.433;0.353
Rehamna;Skoura Lhadra;0.543;27.1;0.677;0.361;0.316;0.334;0.522;0.529;0.271
Boulemane;Skoura M'Daz;0.602;38.6;0.561;0.446;0.038;0.319;0.480;0.540;0.386
Taza;Smia;0.561;27.4;0.580;0.407;0.358;0.253;0.491;0.544;0.274
Essaouira;Smimou;0.594;30.3;0.674;0.519;0.022;0.258;0.498;0.463;0.303
Larache;Souaken;0.553;30.2;0.615;0.399;0.409;0.274;0.422;0.559;0.302
Berrechid;Soualem Trifiya;0.596;25.3;0.497;0.462;0.028;0.366;0.569;0.504;0.253
Marrakech;Souihla;0.651;29.3;0.532;0.453;0.058;0.244;0.352;0.457;0.293
Rabat;Souissi (Arrond,);0.830;43.8;0.276;0.268;0.068;0.174;0.159;0.078;0.438
Kénitra;Souk El Arbaa (Mun,);0.751;35.3;0.448;0.344;0.059;0.174;0.079;0.387;0.353
Tétouan;Souk Kdim;0.514;23.5;0.656;0.559;0.242;0.316;0.543;0.604;0.235
Tinghir;Souk Lakhmis Dades;0.659;41.7;0.539;0.438;0.031;0.280;0.374;0.383;0.417
Larache;Souk L'Qolla;0.507;33.5;0.666;0.429;0.493;0.320;0.506;0.546;0.335
Fquih Ben Salah;Souk Sebt Ouled Nemma (Mun,);0.739;38.6;0.472;0.327;0.059;0.179;0.113;0.414;0.386
Kénitra;Souk Tlet El Gharb;0.558;28.0;0.612;0.401;0.372;0.328;0.449;0.492;0.280
Larache;Souk Tolba;0.527;30.1;0.652;0.414;0.520;0.329;0.371;0.549;0.301
El Kelaa des Sraghna;Sour El Aaz;0.577;29.2;0.601;0.489;0.199;0.296;0.442;0.512;0.292
Chefchaouen;Steha;0.548;32.5;0.588;0.333;0.550;0.254;0.467;0.520;0.325
Al  Haouz;Sti Fadma;0.547;29.3;0.695;0.430;0.133;0.368;0.514;0.578;0.293
Azilal;Tabant;0.608;28.0;0.630;0.371;0.075;0.392;0.369;0.512;0.280
Azilal;Tabaroucht;0.409;29.3;0.626;0.541;0.264;0.663;0.657;0.794;0.293
Azilal;Tabia;0.576;29.4;0.619;0.406;0.155;0.397;0.450;0.515;0.294
Taroudannt;Tabia;0.542;24.0;0.671;0.405;0.018;0.473;0.583;0.595;0.240
Taounate;Tabouda;0.484;28.6;0.627;0.456;0.528;0.370;0.572;0.545;0.286
Salé;Tabriquet (Arrond,);0.798;34.4;0.310;0.354;0.030;0.200;0.032;0.286;0.344
Khouribga;Tachraft;0.555;18.9;0.477;0.401;0.146;0.383;0.640;0.621;0.189
Guercif;Taddart;0.559;29.5;0.542;0.373;0.325;0.295;0.567;0.544;0.295
Errachidia;Tadighoust;0.605;30.6;0.538;0.397;0.290;0.340;0.362;0.447;0.306
"Agadir-Ida
-Ou-Tanane";Tadrart;0.499;28.0;0.685;0.473;0.323;0.470;0.537;0.519;0.280
Sefrou;Tafajight;0.430;26.5;0.771;0.442;0.532;0.543;0.532;0.598;0.265
Essaouira;Tafedna;0.557;28.0;0.699;0.457;0.022;0.332;0.607;0.542;0.280
Driouch;Tafersit;0.653;28.9;0.582;0.406;0.062;0.199;0.429;0.405;0.289
Essaouira;Tafetachte;0.584;25.3;0.588;0.449;0.222;0.291;0.415;0.528;0.253
Taroudannt;Tafingoult;0.623;34.0;0.619;0.446;0.045;0.288;0.391;0.472;0.340
Berkane;Tafoughalt;0.648;34.0;0.514;0.558;0.037;0.275;0.262;0.464;0.340
Taounate;Tafrant;0.524;28.3;0.548;0.454;0.422;0.332;0.569;0.533;0.283
Tiznit;Tafraout (Mun,);0.736;39.4;0.498;0.306;0.048;0.233;0.097;0.400;0.394
Tiznit;Tafraout El Mouloud;0.548;38.5;0.772;0.564;0.010;0.356;0.529;0.481;0.385
Taroudannt;Tafraouten;0.541;28.3;0.691;0.453;0.211;0.372;0.505;0.520;0.283
Zagora;Taftechna;0.623;25.2;0.628;0.399;0.046;0.408;0.288;0.495;0.252
Guelmim;Tagante;0.651;33.9;0.572;0.379;0.051;0.309;0.303;0.477;0.339
"Agadir-Ida
-Ou-Tanane";Taghazout;0.616;33.5;0.577;0.580;0.018;0.258;0.433;0.437;0.335
Zagora;Taghbalte;0.659;30.1;0.590;0.385;0.018;0.304;0.288;0.460;0.301
Guelmim;Taghjijt;0.587;32.9;0.604;0.398;0.258;0.267;0.481;0.468;0.329
Fahs-Anjra;Taghramt;0.606;37.7;0.653;0.432;0.056;0.211;0.494;0.519;0.377
Béni Mellal;Taghzirt;0.622;30.4;0.515;0.468;0.179;0.280;0.363;0.463;0.304
Al Hoceima;Taghzout;0.509;28.6;0.576;0.499;0.555;0.319;0.545;0.455;0.286
Tinghir;Taghzoute N'Ait Atta;0.671;31.1;0.524;0.435;0.046;0.230;0.329;0.412;0.311
Azilal;Tagleft;0.481;31.9;0.608;0.477;0.281;0.498;0.560;0.688;0.319
Tata;Tagmout;0.606;36.7;0.604;0.528;0.066;0.395;0.282;0.492;0.367
Zagora;Tagounite;0.616;37.1;0.514;0.471;0.040;0.397;0.379;0.501;0.371
Tarfaya;Tah;0.539;25.7;0.572;0.398;0.023;0.388;0.767;0.617;0.257
Al  Haouz;Tahannaout (Mun,);0.798;28.2;0.356;0.290;0.020;0.170;0.057;0.319;0.282
Essaouira;Tahelouante;0.509;27.2;0.835;0.448;0.199;0.398;0.446;0.622;0.272
Taza;Tahla (Mun,);0.778;31.5;0.397;0.300;0.055;0.163;0.057;0.360;0.315
Taza;Taifa;0.475;28.1;0.619;0.450;0.463;0.332;0.631;0.657;0.281
Taza;Tainaste;0.508;28.0;0.612;0.422;0.418;0.386;0.543;0.573;0.280
Essaouira;Takate;0.534;30.1;0.619;0.466;0.182;0.374;0.544;0.614;0.301
Essaouira;Takoucht;0.530;27.5;0.767;0.517;0.041;0.390;0.480;0.624;0.275
Chefchaouen;Talambote;0.504;31.5;0.672;0.396;0.536;0.250;0.533;0.585;0.315
Al  Haouz;Talat N'Yaaqoub;0.609;30.3;0.575;0.487;0.125;0.300;0.392;0.464;0.303
Taroudannt;Talgjount;0.612;32.7;0.537;0.379;0.067;0.370;0.461;0.515;0.327
Driouch;Talilit;0.629;27.1;0.666;0.303;0.038;0.194;0.552;0.472;0.271
Taroudannt;Taliouine (Mun,);0.715;43.1;0.484;0.336;0.051;0.206;0.278;0.358;0.431
Guelmim;Taliouine Assaka;0.671;47.4;0.468;0.444;0.056;0.247;0.284;0.476;0.474
Taroudannt;Talmakante;0.500;29.1;0.730;0.381;0.301;0.459;0.586;0.545;0.291
Essaouira;Talmest (Mun,);0.704;36.5;0.452;0.352;0.054;0.235;0.258;0.424;0.365
Figuig;Talsint;0.595;34.2;0.584;0.450;0.105;0.360;0.355;0.575;0.342
Boulemane;Talzemt;0.467;30.9;0.750;0.541;0.210;0.450;0.657;0.589;0.309
Al  Haouz;Tamaguert;0.596;23.7;0.633;0.410;0.078;0.368;0.392;0.544;0.237
El Kelaa des Sraghna;Tamallalt (Mun,);0.740;34.2;0.434;0.317;0.107;0.228;0.073;0.402;0.342
Taroudannt;Tamaloukte;0.596;32.0;0.565;0.505;0.161;0.329;0.357;0.505;0.320
Essaouira;Tamanar (Mun,);0.672;33.0;0.569;0.344;0.019;0.229;0.368;0.439;0.330
Tata;Tamanarte;0.603;33.5;0.611;0.549;0.110;0.325;0.279;0.509;0.335
Al  Haouz;Tamazouzte;0.616;26.0;0.576;0.443;0.047;0.301;0.425;0.510;0.260
El Hajeb;Tamchachate;0.404;28.3;0.600;0.519;0.571;0.423;0.724;0.738;0.283
Sidi Bennour;Tamda;0.564;24.6;0.598;0.371;0.200;0.350;0.535;0.560;0.246
Azilal;Tamda Noumercid;0.526;26.0;0.608;0.428;0.142;0.537;0.518;0.610;0.260
Taounate;Tamedit;0.515;28.7;0.599;0.457;0.375;0.393;0.543;0.541;0.287
Zagora;Tamegroute;0.610;34.7;0.508;0.433;0.182;0.395;0.386;0.438;0.347
Al  Haouz;Tameslohte;0.676;26.9;0.511;0.451;0.037;0.222;0.282;0.443;0.269
Zagora;Tamezmoute;0.586;32.1;0.580;0.476;0.194;0.372;0.417;0.444;0.321
Chefchaouen;Tamorot;0.508;34.7;0.641;0.381;0.631;0.284;0.538;0.478;0.347
"Agadir-Ida
-Ou-Tanane";Tamri;0.606;32.7;0.618;0.484;0.077;0.244;0.487;0.453;0.327
Al Hoceima;Tamsaout;0.461;35.0;0.668;0.466;0.746;0.312;0.547;0.499;0.350
Tan-Tan;Tan Tan (Mun,);0.780;39.2;0.383;0.325;0.039;0.161;0.059;0.351;0.392
Chtouka- Ait Baha;Tanalt;0.565;36.2;0.652;0.700;0.035;0.324;0.414;0.483;0.362
Azilal;Tanant;0.600;28.5;0.605;0.468;0.059;0.358;0.402;0.510;0.285
Chefchaouen;Tanaqoub;0.504;32.9;0.583;0.396;0.699;0.301;0.483;0.514;0.329
Taourirt;Tancherfi;0.504;36.7;0.625;0.416;0.145;0.494;0.606;0.688;0.367
